Source;Post;ID ath;Data;type;like;comm;reposts;views
-159145184;-159145184;-159145184;1622482223;1;1;0;1;135
-15928983;-15928983;-15928983;1623853380;1;58;0;0;627
-159296285;-159296285;-159296285;1622710801;1;0;0;0;19
-164489662;-164489662;-164489662;1622990880;1;2;0;6;1283
-160981789;-160981789;-160981789;1622998862;1;0;0;0;3
-159498274;-159498274;-159498274;1622712479;1;0;0;0;62
-159498274;-159498274;-159498274;1623915117;1;0;0;0;42
-160538455;-160538455;-160538455;1623738840;1;1;0;0;47
-160711079;-160711079;-160711079;1622644201;1;1;0;0;168
-160757794;-160757794;-160757794;1622751688;1;85;0;0;554
-160757794;-160757794;-160757794;1623482636;1;97;0;0;487
-164489662;-164489662;-164489662;1623336003;1;0;0;0;819
-160940625;-160940625;-160940625;1623913208;1;1;0;1;351
-157568785;-157568785;-157568785;1623043176;1;6;1;0;318
-161516523;-161516523;-161516523;1623253900;1;4;0;0;34
-161682482;-161682482;-161682482;1624541002;1;1;0;0;1145
-162672679;-162672679;-162672679;1624888452;1;0;0;0;6
-162895846;-162895846;-162895846;1623834004;1;2;0;1;86
-16289875;-16289875;-16289875;1622457812;1;6;0;2;56543
100519;-163802647;587555734;1623506270;0,5;2;0;0;0
-163802647;-163802647;-163802647;1623502446;1;54;10;2;988
-163538551;-163538551;-163538551;1622753880;1;207;10;162;19474
51661;-163538551;565610411;1623006598;0,5;1;0;0;0
-163802647;-163802647;-163802647;1622770140;1;92;4;5;933
-163802647;-163802647;-163802647;1622926776;1;27;2;3;622
-153705922;-153705922;-153705922;1624281846;1;1;0;0;54
-16345113;-16345113;-16345113;1623149515;1;0;0;0;33
-163802647;-163802647;-163802647;1624120140;1;25;3;0;839
-163851082;-163851082;-163851082;1624436505;1;2;0;0;26
-164167404;-164167404;-164167404;1624602292;1;0;0;0;15
-164290825;-164290825;-164290825;1622737867;1;0;0;0;4
-164489662;-164489662;-164489662;1622562817;1;0;0;6;819
-164883070;-164883070;-164883070;1624371120;1;0;0;0;8
-169607190;-169607190;-169607190;1623256109;1;36;0;3;410
-164883070;-164883070;-164883070;1624606320;1;0;0;0;10
-164489662;-164489662;-164489662;1622663664;1;0;0;0;720
-164489662;-164489662;-164489662;1623573480;1;0;0;0;735
-164489662;-164489662;-164489662;1624812420;1;0;0;0;820
-164489662;-164489662;-164489662;1624788682;1;0;0;0;806
-164553331;-164553331;-164553331;1624294426;1;0;0;0;4
-164871811;-164871811;-164871811;1623481212;1;20;0;1;1458
-164883070;-164883070;-164883070;1624461120;1;0;0;0;10
-164883070;-164883070;-164883070;1624282320;1;0;0;0;11
-169667370;-169667370;-169667370;1622837664;1;21;2;2;567
-165244819;-165244819;-165244819;1622469863;1;2;0;0;69
-165537749;-165537749;-165537749;1622555453;1;0;0;0;7
-165537749;-165537749;-165537749;1623461016;1;0;0;0;5
-165865198;-165865198;-165865198;1622480280;1;45;2;16;2011
-165865198;-165865198;-165865198;1622923080;1;54;7;9;2261
-165865198;-165865198;-165865198;1623959880;1;62;1;2;1953
-165865198;-165865198;-165865198;1624449480;1;180;8;23;5019
-167334441;-167334441;-167334441;1623778200;1;112;4;11;920
-166688799;-166688799;-166688799;1624058914;1;0;0;0;49
-166396900;-166396900;-166396900;1622984720;1;31;7;6;1707
-167343539;-167343539;-167343539;1623000224;1;0;0;0;6
-167563201;-167563201;-167563201;1624311825;1;1;0;2;128
-167601666;-167601666;-167601666;1624698319;1;40;0;2;1497
